,Название,Ссылка на продукт,Цена,Фотография,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,source
870,EZ Lola Air pro Red 1 PowerBolt,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-lola-air-pro/?oid=54486#props,11361,https://fenix-tattoo.ru/upload/iblock/c19/nwiuzrd0gcxx0vxr6u6weq6d9w9szfok.jpg,111,4 - 6,2,"2.0, 2.2, 2.5, 2.8, 3.1, 3.3",1000,,,Аллюминий,,Ez Coreless Motor,Китай,1 год,7000 - 9000,fenix-tattoo
871,Ambition Ninja,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ambition-ninja/#props,11396,https://fenix-tattoo.ru/upload/iblock/690/gy91gcnnzmmn9gv2sovtys74owhkfm0l.jpg,210,3 - 7,2,4.0,1650 / 2400,,,,10,Ambition Custom motors,Китай,,9000,fenix-tattoo
872,Cheyenne HAWK SOL Nova,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/cheyenne-hawk-sol-nova/?oid=34326#props,61550,https://fenix-tattoo.ru/upload/iblock/14e/rpu0beqgd6r0q2rztcapl5isolkxlaq6.jpg,,,,3.5,,,,,,Brushless DC motor,Германия,1 год,,fenix-tattoo
873,Ambition Ninja Max Version 3,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ambition-ninja-max-version-3/#props,12600,https://fenix-tattoo.ru/upload/iblock/23e/5c138tw16k7f5s51ya5sv4uwkgnwru8j.jpeg,253,6 - 7,6,"3.5, 4.0",2400,,,Аллюминий,12,Custom coreless motor,Китай,6 месяцев,10500,fenix-tattoo
874,JACK & ALEXX Easy 2.0 Pen Alu 3.0 mm,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/jack-alexx-easy-2-0-pen-alu/?oid=56823#props,33145,https://fenix-tattoo.ru/upload/iblock/5de/9ogjdumqvzvvr8s15lxebs0h6hh1mu52.jpeg,,8,,"3.0, 3.5, 4.0, 4.5",1200,,,Аллюминий,5,коллекторный 2610,Беларусь,1 год,,fenix-tattoo
875,MT Mustang Tattoo Evolution,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mt-mustang-tattoo-evolution/#props,48141,https://fenix-tattoo.ru/upload/iblock/bf5/np9yz3yj6jtm0i7gjchxuaw9bs5oogr2.jpg,179 - 198,4 - 6 / 12 - 16,"1,2 / 3",3.8,18350 - 18650,,,Аллюминий,6,,Россия,1 год,,fenix-tattoo
876,FK irons Spektra Flux Max ULTRA Bundle Bubblegum 4.0 mm,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/fk-irons-spektra-flux-max-ultra-bundle/?oid=55510#props,133955,https://fenix-tattoo.ru/upload/iblock/3e6/q06vgmbmrtxk22szh8l5d5o6uufjcejl.jpg,208 - 227,,,"3.2, 4.0, 4.5",,,,,,,США,1 год,,fenix-tattoo
877,Vlad Blad ULTRON PEN PMU,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/vlad-blad-ultron-pen-pmu/#props,28422,https://fenix-tattoo.ru/upload/iblock/c0d/fmocwduzig5n09021k1wlmwf2upz2zfu.jpg,,,,3.5,,,,,,,Россия,1 год,,fenix-tattoo
878,EZ P4 SE Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-p4-se/?oid=38446#props,5873,https://fenix-tattoo.ru/upload/iblock/626/2z0a59x0yl1navxvbxavuq6fb063ftlt.jpg,,,,3.5,,,,Аллюминий,,Japanese Coreless Motor,Китай,6 месяцев,7000 - 9000,fenix-tattoo
879,Lithuanian Irons Cyber X,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/lithuanian-irons-cyber-x/#props,81540,https://fenix-tattoo.ru/upload/iblock/54c/15u2i027wddqsh6ksq85onkm94khif6s.jpeg,190,4 - 6,,4.0,1900,,,,,Brushless Faulhaber Motor,Литва,,,fenix-tattoo
880,GLOVCON PEN COSMETIC Makeup Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/glovcon-pen-cosmetic-makeup/?oid=38516#props,24927,https://fenix-tattoo.ru/upload/iblock/048/d726iey07mqq4uyv04n34hv66eapmveg.jpg,,,,3.5,,,,,4,,Польша,,,fenix-tattoo
881,Jack & Alexx LILIT Pro,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/jack-alexx-lilit-pro/#props,63315,https://fenix-tattoo.ru/upload/iblock/361/z6vw1tirn5krqjp8e90f19pn1zd8skkj.jpeg,,4,"2,5",3.5,1000,,,,,,Беларусь,1 год,,fenix-tattoo
882,Burlak Tattoo Machines Nika 2,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/burlak-tattoo-machines-nika-2/#props,25531,https://fenix-tattoo.ru/upload/iblock/044/2502o0ybnrvgcq8u80nxjy104q5vy9p9.jpeg,,,,3.8,,,,Аллюминий,9,,Россия,1 год,10000,fenix-tattoo
883,Dragonhawk Atom Rotary Pen Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/dragonhawk-atom-rotary-pen/?oid=34295#props,3984,https://fenix-tattoo.ru/upload/iblock/45a/2yira4b8wtuwmyyb5f6dgvjlrqprhacf.jpg,,,,,,,,,,,,,,fenix-tattoo
884,Dragonhawk Extreme Rotary Tattoo Machine Pen Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/dragonhawk-extreme-rotary-tattoo-machine-pen/?oid=55049#props,5907,https://fenix-tattoo.ru/upload/iblock/846/ks1idhmwvkq2ry1xmx02h4gts44rj7vb.jpeg,,,,3.5,,,,,,,Китай,6 месяцев,10000,fenix-tattoo
885,EZ Avant Pen,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-avant-pen/#props,23251,https://fenix-tattoo.ru/upload/iblock/25f/m1jmek3o6i3wq307cmy55rity5dd4v3t.jpg,,,,,,,,,,,Китай,,,fenix-tattoo
886,BEST by Alla Budaragina Pink Gloss,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/best-by-alla-budaragina/?oid=57711#props,39591,https://fenix-tattoo.ru/upload/iblock/f8a/4hrka25pnmbtkk85mom407omanuch3v3.jpg,,,,"2.6, 3.6",,,,,,11500,,,,fenix-tattoo
887,Dragonhawk Fold 3 Wireless Tattoo Kit,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/dragonhawk-fold-3-wireless-tattoo-kit/#props,13299,https://fenix-tattoo.ru/upload/iblock/564/8zq5zogotu3e99q34xlefvd868vo8qok.jpeg,213,5,"1,5","2.4, 2.7, 3.0, 3.3, 3.6, 3.9, 4.2",1500,,,,8,Coreless Motor,Китай,6 месяцев,6500,fenix-tattoo
888,Equaliser Hybrid Fox Wireless,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/equaliser-hybrid-fox-wireless/#props,40512,https://fenix-tattoo.ru/upload/iblock/4e1/x0favut2jj8v9fu0mfez78ge8l0gsjbz.jpeg,210,,,4.2,,,,,,бесколлекторный Equaliser,Польша,1 год,,fenix-tattoo
889,Ambition T-REX V1-S,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ambition-t-rex-v1-s/#props,4200,https://fenix-tattoo.ru/upload/iblock/dd6/h3r61snzc0h2jhz9bwtizrjl2j5m1e28.jpeg,234,4 - 6,2.5,3.5,1600,,,Аллюминий,8,Custom coreless motor,Китай,6 месяцев,9000,fenix-tattoo
890,EZ Portex Generation 2S (P2S) Matte Xmas Green3.5 mm 1 PowerBolt,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-portex-generation-2s-p2s/?oid=53186#props,7803,https://fenix-tattoo.ru/upload/iblock/6d7/sckz1apl243x72jdanw6ylely8myh3q2.jpg,197,5,2,"3.5, 4.0",1800,,,Аллюминий,12,EZ Customized Swiss Motor,Китай,6 месяцев,10800,fenix-tattoo
891,FKirons Spektra Flux Max Stealth 4.5 mm 1 PowerBolt,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/fkirons-spektra-flux-max/?oid=47394#props,94166,https://fenix-tattoo.ru/upload/iblock/dcc/lu6iw529topri9jl61l3a1an1spdwoko.jpeg,,,,"3.2, 4.0, 4.5",,,,,,,США,1 год,,fenix-tattoo
892,Equaliser Unicorn MAX Wireless,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/equaliser-unicorn-max-wireless/#props,49961,https://fenix-tattoo.ru/upload/iblock/8b9/k15fp833oj2ayqlo33b33fgzb8b2c49a.jpeg,212,,,4.2,,,,,,бесколлекторный Equaliser,Польша,,,fenix-tattoo
893,Xtreme X Tattoo Machine,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/xtreme-x-tattoo-machine/#props,17247,https://fenix-tattoo.ru/upload/iblock/5ea/bzo6ms7ljo99npgrahwia1hzmvhj3uq6.jpeg,183,5 - 10,,4.0,2000,,,Аллюминий,,бесщеточный двигатель Faulhaber,США,1 год,,fenix-tattoo
894,Arena Tattoo Creation Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/arena-tattoo-creation/?oid=40266#props,20126,https://fenix-tattoo.ru/upload/iblock/246/j2e8h1t49hya5kpr97wr11f6qth2kkcn.jpg,,,,,,,,,,,,,,fenix-tattoo
895,Mast Tour Air,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-tour-air/#props,6248,https://fenix-tattoo.ru/upload/iblock/cb3/shqy5zv6697qa48qzfsq5eqbgxmp0jl0.jpg,,,,2.3,,,,,,,Китай,6 месяцев,,fenix-tattoo
896,GLOVCON Pen Pills THICK,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/glovcon-pen-pills-thick/#props,37019,https://fenix-tattoo.ru/upload/iblock/7a9/tborze9prgxaup5orcpdpvvq5oh704tt.jpg,,,,,,,,,5,,Польша,,,fenix-tattoo
897,Ambition Kiss of Dragon V1,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ambition-kiss-of-dragon-v1/#props,6720,https://fenix-tattoo.ru/upload/iblock/3be/c8jxfky5gz5amxedyzxktkgdsxvl5kmq.jpeg,254,4 - 6,2.5,"2.0, 2.3, 2.6, 3.0, 3.4, 3.8, 4.2",1600,,,Аллюминий,8,Powerfull Motor,Китай,6 месяцев,9000,fenix-tattoo
898,Cheyenne HAWK SOL Nova Unlimited Black 2.5 mm,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/cheyenne-hawk-sol-nova-unlimited/?oid=51543#props,89008,https://fenix-tattoo.ru/upload/iblock/91b/lbvuvy87k73wnnr1z1dq7w1uc1f5hk80.jpg,184,5,3,"2.5, 3.5, 4.0, 5.0",,,,Аллюминий,,Brushless DC Motor,Германия,1 год,,fenix-tattoo
899,Inox Prime RUNIC ARCANA,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/inox-prime-runic-arcana/#props,22338,https://fenix-tattoo.ru/upload/iblock/c39/h3gou1uq1jotc90vknk153eje91dmgna.jpeg,,6,2,"2.4, 2.7, 3.0, 3.3, 3.6, 3.8, 4.2",1800,,,,9,бесколлекторный Inox Prime,Польша,1 год,11000,fenix-tattoo
900,Deuce Machines Hybrid Black RCA,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/deuce-machines-hybrid-black-rca/#props,23935,https://fenix-tattoo.ru/upload/iblock/070/ach7bp3htxgdpl0bikslgdw3siw9bxxi.jpeg,,,,"3.8, 4.2",,,,,,Swiss Motor 4W,Россия,,,fenix-tattoo
901,EZ P3 Pro Red Глянцевая 1 PowerBolt,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-p3-pro/?oid=50082#props,12082,https://fenix-tattoo.ru/upload/iblock/2fe/orcs0v8bl8qna6no4bk5uvzu23idvu6i.webp,,"4,5",2,"2.0, 2.4, 2.8, 3.3, 3.7, 4.2",1600,10,,Аллюминий,12,EZ Coreless Motor,Китай,6 месяцев,10000,fenix-tattoo
902,Bishop Rotary The Power WAND Shader 3.5 mm,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/bishop-rotary-the-power-wand/?oid=47381#props,80042,https://fenix-tattoo.ru/upload/iblock/f6f/ghjty77snnuc0ut18fimj8t1lga44yep.jpg,,,,"3.5, 4.2, 5.0",,,,,,,США,,,fenix-tattoo
903,Mast Aion Wireless Tattoo Machine 3.5 mm,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-aion-wireless-tattoo-machine/?oid=55042#props,12704,https://fenix-tattoo.ru/upload/iblock/386/8bjagpl3kk8szog0qhacqgy42duydmmi.jpeg,,6,1,"4.0, 3.5",1500,,,Аллюминий,12,японский мотор без сердечника,Китай,6 месяцев,9900,fenix-tattoo
904,Skinductor Vertigo GO! Soft,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/skinductor-vertigo-go-soft/#props,12767,https://fenix-tattoo.ru/upload/iblock/5dd/mdvvs0owiz53a7oona4rxjb6qkj8py6t.jpeg,,,,3.5,,,,,,,Россия,,,fenix-tattoo
905,Mast Nano Wireless Rotary Pen Machine with Battery PMU SMP,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-nano-wireless-rotary-pen-machine-with-battery-pmu-smp/#props,13648,https://fenix-tattoo.ru/upload/iblock/ce4/40d4b0t85ugovnqb056k3y36lewyvzw2.webp,146,6,3,3.2,1200,,,Аллюминий,,,Китай,6 месяцев,9000,fenix-tattoo
